Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
465,"M Kubicki, R McCarley, CF Westin, HJ Park…","A review of diffusion tensor imaging studies in schizophrenia",2007,"Journal of psychiatric …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0022395605000671","http://scholar.google.com/scholar?cites=16907841284877249870&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,"2014-08-04",""
350,"M Kubicki, CF Westin, SE Maier…","Uncinate fasciculus findings in schizophrenia: a magnetic resonance diffusion tensor imaging study",2002,"American Journal of …","Am Psychiatric Assoc","","http://scholar.google.com/scholar?cites=4707597308938316300&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,"2014-08-04","HTML"
343,"M Kubicki, CF Westin, PG Nestor, CG Wible…","Cingulate fasciculus integrity disruption in schizophrenia: a magnetic resonance diffusion tensor imaging study",2003,"Biological …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0006322303004190","http://scholar.google.com/scholar?cites=17078980160241103243&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,"2014-08-04",""
189,"HJ Park, CF Westin, M Kubicki, SE Maier…","White matter hemisphere asymmetries in healthy subjects and in schizophrenia: a diffusion tensor MRI study",2004,"Neuroimage","Elsevier","http://www.sciencedirect.com/science/article/pii/S1053811904002587","http://scholar.google.com/scholar?cites=13502768854307405794&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,"2014-08-04",""
182,"HJ Park, M Kubicki, ME Shenton, A Guimond…","Spatial normalization of diffusion tensor MRI using multiple channels",2003,"Neuroimage","Elsevier","http://www.sciencedirect.com/science/article/pii/S1053811903004981","http://scholar.google.com/scholar?cites=2018382139611954596&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,"2014-08-04",""
126,"N Kuroki, M Kubicki, PG Nestor, DF Salisbury…","Fornix integrity and hippocampal volume in male schizophrenic patients",2006,"Biological …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0006322305013673","http://scholar.google.com/scholar?cites=7206741215728692480&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,"2014-08-04",""
113,"PG Nestor, M Kubicki, RJ Gurrera…","Neuropsychological correlates of diffusion tensor imaging in schizophrenia.",2004,"…","psycnet.apa.org","http://psycnet.apa.org/journals/neu/18/4/629/","http://scholar.google.com/scholar?cites=11279632628201099974&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,"2014-08-04",""
108,"M Kubicki, CF Westin, SE Maier…","Diffusion tensor imaging and its application to neuropsychiatric disorders",2002,"Harvard review of …","informahealthcare.com","http://informahealthcare.com/doi/abs/10.1080/10673220216231","http://scholar.google.com/scholar?cites=4586108943148189821&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,"2014-08-04",""
102,"…, P Smyth, S Pieper, S Kim, M Kubicki…","Test–retest and between‐site reliability in a multicenter fMRI study",2008,"Human brain …","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1002/hbm.20440/full","http://scholar.google.com/scholar?cites=9841437667289338991&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,"2014-08-04",""
94,"MA Niznikiewicz, M Kubicki…","Recent structural and functional imaging findings in schizophrenia",2003,"Current opinion in …","journals.lww.com","http://journals.lww.com/co-psychiatry/Abstract/2003/03000/Recent_structural_and_functional_imaging_findings.2.aspx","http://scholar.google.com/scholar?cites=11905191810530413039&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,"2014-08-04",""
91,"M Nakamura, RW McCarley, M Kubicki, CC Dickey…","Fronto–Temporal Disconnectivity in Schizotypal Personality Disorder: A Diffusion Tensor Imaging Study",2005,"Biological …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0006322305004713","http://scholar.google.com/scholar?cites=4701954229754349085&as_sdt=2005&sciodt=0,5&hl=en&num=20",11,"2014-08-04",""
87,"LJ O'Donnell, M Kubicki, ME Shenton…","A method for clustering white matter fiber tracts",2006,"American Journal …","Am Soc Neuroradiology","http://www.ajnr.org/content/27/5/1032.short","http://scholar.google.com/scholar?cites=992373516649693287&as_sdt=2005&sciodt=0,5&hl=en&num=20",12,"2014-08-04",""
81,"CG Wible, M Kubicki, SS Yoo…","A functional magnetic resonance imaging study of auditory mismatch in schizophrenia",2001,"American Journal of …","Am Psychiatric Assoc","","http://scholar.google.com/scholar?cites=18444830340780861605&as_sdt=2005&sciodt=0,5&hl=en&num=20",13,"2014-08-04","HTML"
77,"PG Nestor, M Kubicki, KM Spencer, M Niznikiewicz…","Attentional networks and cingulum bundle in chronic schizophrenia",2007,"Schizophrenia …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0920996406004476","http://scholar.google.com/scholar?cites=13780451080164412975&as_sdt=2005&sciodt=0,5&hl=en&num=20",14,"2014-08-04",""
75,"…, M Niethammer, M Kubicki…","Restoration of DWI data using a Rician LMMSE estimator",2008,"Medical Imaging, …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4472018","http://scholar.google.com/scholar?cites=1535694715356039880&as_sdt=2005&sciodt=0,5&hl=en&num=20",15,"2014-08-04",""
73,"CG Wible, SD Han, MH Spencer, M Kubicki…","Connectivity among semantic associates: an fMRI study of semantic priming",2006,"Brain and language","Elsevier","http://www.sciencedirect.com/science/article/pii/S0093934X05003421","http://scholar.google.com/scholar?cites=6552145186523152453&as_sdt=2005&sciodt=0,5&hl=en&num=20",16,"2014-08-04",""
73,"M Kubicki, CF WESTIN, RW McCARLEY…","The application of DTI to investigate white matter abnormalities in schizophrenia",2005,"Annals of the New …","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1196/annals.1340.024/full","http://scholar.google.com/scholar?cites=16777024184356593758&as_sdt=2005&sciodt=0,5&hl=en&num=20",17,"2014-08-04",""
72,"M Kubicki, RW McCarley…","Evidence for white matter abnormalities in schizophrenia",2005,"Current opinion in …","ncbi.nlm.nih.gov","","http://scholar.google.com/scholar?cites=13317698658617241749&as_sdt=2005&sciodt=0,5&hl=en&num=20",18,"2014-08-04","HTML"
72,"G Rosenberger, M Kubicki, PG Nestor, E Connor…","Age-related deficits in fronto-temporal connections in schizophrenia: a diffusion tensor imaging study",2008,"Schizophrenia …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0920996408001862","http://scholar.google.com/scholar?cites=16657696138270574158&as_sdt=2005&sciodt=0,5&hl=en&num=20",19,"2014-08-04",""
63,"TJ Whitford, M Kubicki, JS Schneiderman…","Corpus callosum abnormalities and their association with psychotic symptoms in patients with schizophrenia",2010,"Biological …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0006322310002908","http://scholar.google.com/scholar?cites=7822507598666450693&as_sdt=2005&sciodt=0,5&hl=en&num=20",20,"2014-08-04",""
55,"…, D Barbier‐Baudry, E Vigier, MM Kubicki","Genuine Heteroleptic Complexes of Early Rare‐Earth Metals: Synthesis, X‐ray Structure, and Their Use for Stereospecific Isoprene Polymerization Catalysis",2004,"… -A European Journal","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1002/chem.200305595/full","http://scholar.google.com/scholar?cites=1832934436736817196&as_sdt=2005&sciodt=0,5&hl=en&num=20",21,"2014-08-04",""
56,"JS Oh, M Kubicki, G Rosenberger, S Bouix…","Thalamo‐frontal white matter alterations in chronic schizophrenia",2009,"Human brain …","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1002/hbm.20809/full","http://scholar.google.com/scholar?cites=6383809729624388771&as_sdt=2005&sciodt=0,5&hl=en&num=20",22,"2014-08-04",""
54,"PG Nestor, M Kubicki, N Kuroki, RJ Gurrera…","Episodic memory and neuroimaging of hippocampus and fornix in chronic schizophrenia",2007,"Psychiatry Research: …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0925492707000157","http://scholar.google.com/scholar?cites=16033662450973171680&as_sdt=2005&sciodt=0,5&hl=en&num=20",23,"2014-08-04",""
51,"PG Nestor, M Kubicki, M Niznikiewicz…","Neuropsychological disturbance in schizophrenia: a diffusion tensor imaging study.",2008,"…","psycnet.apa.org","http://psycnet.apa.org/journals/neu/22/2/246/","http://scholar.google.com/scholar?cites=7956686237880334124&as_sdt=2005&sciodt=0,5&hl=en&num=20",24,"2014-08-04",""
51,"HJ Park, J Levitt, ME Shenton, DF Salisbury, M Kubicki…","An MRI study of spatial probability brain map differences between first-episode schizophrenia and normal controls",2004,"Neuroimage","Elsevier","http://www.sciencedirect.com/science/article/pii/S1053811904001533","http://scholar.google.com/scholar?cites=15005944132661415356&as_sdt=2005&sciodt=0,5&hl=en&num=20",25,"2014-08-04",""
52,"ME Shenton, TJ Whitford, M Kubicki","Structural neuroimaging in schizophrenia from methods to insights to treatments",2010,"Dialogues in clinical …","ncbi.nlm.nih.gov","","http://scholar.google.com/scholar?cites=1586717637605522265&as_sdt=2005&sciodt=0,5&hl=en&num=20",26,"2014-08-04","HTML"
47,"M Viotte, B Gautheron, MM Kubicki, Y Mugnier…","New iron (II)-and gold (I)-containing metallocenes. X-ray structure of a three-coordinate gold (I) ferrocenophane-type representative",1995,"Inorganic …","ACS Publications","http://pubs.acs.org/doi/abs/10.1021/ic00117a014","http://scholar.google.com/scholar?cites=15995437096553351750&as_sdt=2005&sciodt=0,5&hl=en&num=20",27,"2014-08-04",""
48,"KU Lee, T Yoshida, M Kubicki, S Bouix, CF Westin…","Increased diffusivity in superior temporal gyrus in patients with schizophrenia: a diffusion tensor imaging study",2009,"Schizophrenia …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0920996408005203","http://scholar.google.com/scholar?cites=2979375318206128208&as_sdt=2005&sciodt=0,5&hl=en&num=20",28,"2014-08-04",""
42,"…, A Hafid, E Vigier, MM Kubicki","Organometallic early lanthanide clusters: Syntheses and X-ray structures of new monocyclopentadienyl complexes",2004,"Inorganic …","ACS Publications","http://pubs.acs.org/doi/abs/10.1021/ic035444l","http://scholar.google.com/scholar?cites=10515973879841703960&as_sdt=2005&sciodt=0,5&hl=en&num=20",29,"2014-08-04",""
43,"…, CG Wible, RI Hashimoto, M Kubicki","Functional and anatomical connectivity abnormalities in left inferior frontal gyrus in schizophrenia",2009,"Human brain …","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1002/hbm.20835/full","http://scholar.google.com/scholar?cites=15618812424170718533&as_sdt=2005&sciodt=0,5&hl=en&num=20",30,"2014-08-04",""
39,"TJ Whitford, JM Ford, DH Mathalon, M Kubicki…","Schizophrenia, myelination, and delayed corollary discharges: a hypothesis",2010,"Schizophrenia …","MPRC","http://schizophreniabulletin.oxfordjournals.org/content/early/2010/09/20/schbul.sbq105.short","http://scholar.google.com/scholar?cites=6086072334468957044&as_sdt=2005&sciodt=0,5&hl=en&num=20",31,"2014-08-04",""
38,"C Barre, P Boudot, MM Kubicki, C Moiese","Synthesis, Spectroscopy, Bonding and Structure in Phosphido Bridged Bimetallics Derived from Bent Metallocenes of Molybdenum and Tungsten and from Group 6 …",1995,"Inorganic Chemistry","ACS Publications","http://pubs.acs.org/doi/abs/10.1021/ic00105a045","http://scholar.google.com/scholar?cites=12317558568295728678&as_sdt=2005&sciodt=0,5&hl=en&num=20",32,"2014-08-04",""
36,"G Bonnet, MM Kubicki, C Moise, R Lazzaroni…","Synthesis and structure of the niobium (III) phosphido complex (C5H5) 2Nb (CO)(P-iso-PrPh): efficient Gauche effect and low inversion barrier in bent-metallocene …",1992,"…","ACS Publications","http://pubs.acs.org/doi/abs/10.1021/om00038a071","http://scholar.google.com/scholar?cites=14609794616593889078&as_sdt=2005&sciodt=0,5&hl=en&num=20",33,"2014-08-04",""
36,"…, V Mohan, M Niethammer, K Smith, M Kubicki…","Finsler tractography for white matter connectivity analysis of the cingulum bundle",2007,"… Image Computing and …","Springer","http://link.springer.com/chapter/10.1007/978-3-540-75757-3_5","http://scholar.google.com/scholar?cites=12541533045605310905&as_sdt=2005&sciodt=0,5&hl=en&num=20",34,"2014-08-04",""
