Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
254,"AE Williams-Jones, CA Heinrich","100th Anniversary special paper: vapor transport of metals and the formation of magmatic-hydrothermal ore deposits",2005,"Economic Geology","economicgeology.org","http://economicgeology.org/content/100/7/1287.short","http://scholar.google.com/scholar?cites=9931685104592251019&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,"2014-08-04",""
127,"A Hezarkhani, AE Williams-Jones","Controls of alteration and mineralization in the Sungun porphyry copper deposit, Iran; evidence from fluid inclusions and stable isotopes",1998,"Economic Geology","economicgeology.org","http://economicgeology.org/content/93/5/651.short","http://scholar.google.com/scholar?cites=7208314541426133486&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,"2014-08-04",""
87,"S Salvi, AE Williams-Jones","The role of hydrothermal processes in the granite-hosted Zr, Y, REE deposit at Strange Lake, Quebec/Labrador: evidence from fluid inclusions",1990,"Geochimica et Cosmochimica Acta","Elsevier","http://www.sciencedirect.com/science/article/pii/001670379090228D","http://scholar.google.com/scholar?cites=2030054372833698521&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,"2014-08-04",""
76,"SU Aja, SA Wood, AE Williams-Jones","The aqueous geochemistry of Zr and the solubility of some Zr-bearing minerals",1995,"Applied Geochemistry","Elsevier","http://www.sciencedirect.com/science/article/pii/0883292795000267","http://scholar.google.com/scholar?cites=17985220435764019763&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,"2014-08-04",""
74,"S Salvi, AE Williams-Jones","The role of hydrothermal processes in concentrating high-field strength elements in the Strange Lake peralkaline complex, northeastern Canada",1996,"Geochimica et Cosmochimica Acta","Elsevier","http://www.sciencedirect.com/science/article/pii/0016703796000713","http://scholar.google.com/scholar?cites=3929388792432388456&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,"2014-08-04",""
74,"AE Williams-Jones, AA Migdisov…","Vapor-transport of ore metals",2002,"Water–rock interaction: …","eps.mcgill.ca","","http://scholar.google.com/scholar?cites=514013627629468812&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,"2014-08-04","PDF"
66,"AE Williams-Jones, IM Samson…","The genesis of hydrothermal fluorite-REE deposits in the Gallinas Mountains, New Mexico",2000,"Economic Geology","economicgeology.org","http://economicgeology.org/content/95/2/327.short","http://scholar.google.com/scholar?cites=14386696599860112980&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,"2014-08-04",""
65,"S Salvi, AE Williams-Jones","Fischer-Tropsch synthesis of hydrocarbons during sub-solidus alteration of the Strange Lake peralkaline granite, Quebec/Labrador, Canada",1997,"Geochimica et Cosmochimica Acta","Elsevier","http://www.sciencedirect.com/science/article/pii/S0016703796003134","http://scholar.google.com/scholar?cites=2598161014140401601&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,"2014-08-04",""
60,"AE Williams-Jones, IM Samson","Theoretical estimation of halite solubility in the system NaCl-CaCl 2-H 2 O; applications to fluid inclusions",1990,"The Canadian …","canmin.geoscienceworld.org","","http://scholar.google.com/scholar?cites=16922274028757349935&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,"2014-08-04","CITATION"
55,"SA Wood, AE Williams-Jones","The aqueous geochemistry of the rare-earth elements and yttrium 4. Monazite solubility and REE mobility in exhalative massive sulfide-depositing environments",1994,"Chemical Geology","Elsevier","http://www.sciencedirect.com/science/article/pii/0009254194901449","http://scholar.google.com/scholar?cites=16767566811728535785&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,"2014-08-04",""
57,"AE Williams-Jones, RJ Bowell…","Gold in solution",2009,"…","elements.geoscienceworld.org","http://elements.geoscienceworld.org/content/5/5/281.short","http://scholar.google.com/scholar?cites=8258425987695386104&as_sdt=2005&sciodt=0,5&hl=en&num=20",11,"2014-08-04",""
50,"…, J Duggan, AE Williams-Jones","Devonian matrix dolomites and deep burial carbonate cements: a comparison between the Rimbey-Meadowbrook reef trend and the deep basin of west-central …",1999,"Bulletin of …","archives.datapages.com","http://archives.datapages.com/data/cspg/data/047/047004/0487.htm","http://scholar.google.com/scholar?cites=237781076669278874&as_sdt=2005&sciodt=0,5&hl=en&num=20",12,"2014-08-04",""
48,"D Duba, AE Williams-Jones","The application of illite crystallinity, organic matter reflectance, and isotopic techniques to mineral exploration; a case study in southwestern Gaspe, …",1983,"Economic Geology","economicgeology.org","","http://scholar.google.com/scholar?cites=12253598287436750841&as_sdt=2005&sciodt=0,5&hl=en&num=20",13,"2014-08-04","CITATION"
49,"…, J Paquette, AE Williams-Jones","Crystallographic controls on trace-element incorporation in auriferous pyrite from the Pascua epithermal high-sulfidation deposit, Chile–Argentina",2005,"The Canadian …","canmin.geoscienceworld.org","http://canmin.geoscienceworld.org/content/43/3/951.short","http://scholar.google.com/scholar?cites=4076426889151322550&as_sdt=2005&sciodt=0,5&hl=en&num=20",14,"2014-08-04",""
46,"A Chouinard, AE Williams-Jones…","Geology and genesis of the multistage high-sulfidation epithermal Pascua Au-Ag-Cu deposit, Chile and Argentina",2005,"Economic …","economicgeology.org","http://economicgeology.org/content/100/3/463.short","http://scholar.google.com/scholar?cites=1153858278904618593&as_sdt=2005&sciodt=0,5&hl=en&num=20",15,"2014-08-04",""
