Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
1768,"…, P Viola, H Atsumi, S Nakajima, R Kikinis","Multi-modal volume registration by maximization of mutual information",1996,"Medical image …","Elsevier","http://www.sciencedirect.com/science/article/pii/S1361841501800049","http://scholar.google.com/scholar?cites=17755535773167208791&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,"2014-08-04",""
1171,"WM Wells III, WEL Grimson, R Kikinis…","Adaptive segmentation of MRI data",1996,"Medical Imaging, IEEE …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=511747","http://scholar.google.com/scholar?cites=12536248960033621597&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,"2014-08-04",""
1077,"ME Shenton, R Kikinis, FA Jolesz…","Abnormalities of the left temporal lobe and thought disorder in schizophrenia: a quantitative magnetic resonance imaging study",1992,"… England Journal of …","Mass Medical Soc","http://www.nejm.org/doi/full/10.1056/NEJM199208273270905","http://scholar.google.com/scholar?cites=16098603049938869167&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,"2014-08-04",""
971,"G Gerig, O Kubler, R Kikinis…","Nonlinear anisotropic filtering of MRI data",1992,"Medical Imaging, IEEE …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=141646","http://scholar.google.com/scholar?cites=5478149228514043921&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,"2014-08-04",""
763,"…, H Ohta, NB Lasko, MW Gilbertson, SP Orr, R Kikinis…","Magnetic resonance imaging study of hippocampal volume in chronic, combat-related posttraumatic stress disorder",1996,"Biological …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0006322396002296","http://scholar.google.com/scholar?cites=7863490873978462297&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,"2014-08-04",""
746,"…, H Atsumi, S Yoshida, T Koller, G Gerig, R Kikinis","Three-dimensional multi-scale line filter for segmentation and visualization of curvilinear structures in medical images",1998,"Medical image …","Elsevier","http://www.sciencedirect.com/science/article/pii/S1361841598800091","http://scholar.google.com/scholar?cites=7566924338065513273&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,"2014-08-04",""
659,"…, H Mamata, A Nabavi, FA Jolesz, R Kikinis","Processing and visualization for diffusion tensor MRI",2002,"Medical image …","Elsevier","http://www.sciencedirect.com/science/article/pii/S1361841502000531","http://scholar.google.com/scholar?cites=14632149580377272029&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,"2014-08-04",""
659,"…, EJ Woodard, PL Gleason, CH Martin, R Kikinis…","Development and implementation of intraoperative magnetic resonance imaging and its neurosurgical applications",1997,"…","journals.lww.com","http://journals.lww.com/neurosurgery/Abstract/1997/10000/Development_and_Implementation_of_Intraoperative.13.aspx","http://scholar.google.com/scholar?cites=6706288620375648983&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,"2014-08-04",""
581,"RJ Killiany, T Gomez-Isla, M Moss, R Kikinis…","Use of structural magnetic resonance imaging to predict who will get Alzheimer's disease",2000,"Annals of …","Citeseer","","http://scholar.google.com/scholar?cites=10781959566735627979&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,"2014-08-04","CITATION"
465,"…, CF Westin, HJ Park, S Maier, R Kikinis…","A review of diffusion tensor imaging studies in schizophrenia",2007,"Journal of psychiatric …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0022395605000671","http://scholar.google.com/scholar?cites=16907841284877249870&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,"2014-08-04",""
453,"TE Inder, PS Huppi, S Warfield, R Kikinis…","Periventricular white matter injury in the premature infant is followed by reduced cerebral cortical gray matter volume at term",1999,"Annals of …","spl.harvard.edu","","http://scholar.google.com/scholar?cites=16709352205656562633&as_sdt=2005&sciodt=0,5&hl=en&num=20",11,"2014-08-04","HTML"
