Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
339,"K Siddiqi, S Bouix, A Tannenbaum…","Hamilton-jacobi skeletons",2002,"International Journal of …","Springer","http://link.springer.com/article/10.1023/A:1016376116653","http://scholar.google.com/scholar?cites=9279790889894599053&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,"2014-08-04",""
136,"S Bouix, K Siddiqi, A Tannenbaum","Flux driven automatic centerline extraction",2005,"Medical Image Analysis","Elsevier","http://www.sciencedirect.com/science/article/pii/S1361841504000611","http://scholar.google.com/scholar?cites=9946547109248191466&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,"2014-08-04",""
108,"M Nakamura, DF Salisbury, Y Hirayasu, S Bouix…","Neocortical gray matter volume in first-episode schizophrenia and first-episode affective psychosis: a cross-sectional and longitudinal MRI study",2007,"Biological …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0006322307003307","http://scholar.google.com/scholar?cites=9635485851237207600&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,"2014-08-04",""
95,"S Bouix, K Siddiqi","Divergence-based medial surfaces",2000,"Computer Vision-ECCV 2000","Springer","http://link.springer.com/chapter/10.1007/3-540-45054-8_39","http://scholar.google.com/scholar?cites=7059387049976692015&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,"2014-08-04",""
79,"…, J Zhang, D Macrini, A Shokoufandeh, S Bouix…","Retrieving articulated 3-D models using medial surfaces",2008,"Machine Vision and …","Springer","http://link.springer.com/article/10.1007/s00138-007-0097-8","http://scholar.google.com/scholar?cites=13043805275362670&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,"2014-08-04",""
76,"S Bouix, JC Pruessner, D Louis Collins, K Siddiqi","Hippocampal shape analysis using medial surfaces",2005,"Neuroimage","Elsevier","http://www.sciencedirect.com/science/article/pii/S1053811904007943","http://scholar.google.com/scholar?cites=7967609712388365912&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,"2014-08-04",""
67,"KM Pohl, S Bouix, R Kikinis…","Anatomical guided segmentation with non-stationary tissue class distributions in an expectation-maximization framework",2004,"… Imaging: Nano to Macro …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1398479","http://scholar.google.com/scholar?cites=9504840627703554105&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,"2014-08-04",""
66,"S Bouix, M Martin-Fernandez, L Ungar, M Nakamura…","On evaluating brain tissue classifiers without a ground truth",2007,"Neuroimage","Elsevier","http://www.sciencedirect.com/science/article/pii/S1053811907003485","http://scholar.google.com/scholar?cites=437595891906168655&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,"2014-08-04",""
67,"AN Voineskos, NJ Lobaugh, S Bouix, TK Rajji…","Diffusion tensor tractography findings in schizophrenia across the adult lifespan",2010,"Brain","Oxford Univ Press","http://brain.oxfordjournals.org/content/133/5/1494.short","http://scholar.google.com/scholar?cites=15659043674246495975&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,"2014-08-04",""
63,"KM Pohl, S Bouix, M Nakamura…","A hierarchical algorithm for MR brain image parcellation",2007,"Medical Imaging, …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4298155","http://scholar.google.com/scholar?cites=6822148559468302722&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,"2014-08-04",""
56,"JS Oh, M Kubicki, G Rosenberger, S Bouix…","Thalamo‐frontal white matter alterations in chronic schizophrenia",2009,"Human brain …","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1002/hbm.20809/full","http://scholar.google.com/scholar?cites=6383809729624388771&as_sdt=2005&sciodt=0,5&hl=en&num=20",11,"2014-08-04",""
49,"M Niethammer, M Reuter, FE Wolter, S Bouix…","Global medical shape analysis using the Laplace-Beltrami spectrum",2007,"… Image Computing and …","Springer","http://link.springer.com/chapter/10.1007/978-3-540-75757-3_103","http://scholar.google.com/scholar?cites=13164685392969511508&as_sdt=2005&sciodt=0,5&hl=en&num=20",12,"2014-08-04",""
48,"KU Lee, T Yoshida, M Kubicki, S Bouix, CF Westin…","Increased diffusivity in superior temporal gyrus in patients with schizophrenia: a diffusion tensor imaging study",2009,"Schizophrenia …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0920996408005203","http://scholar.google.com/scholar?cites=2979375318206128208&as_sdt=2005&sciodt=0,5&hl=en&num=20",13,"2014-08-04",""
45,"JM Gauch, S Gauch, S Bouix, X Zhu","Real time video scene detection and classification",1999,"Information processing & …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0306457398000673","http://scholar.google.com/scholar?cites=11101426918938571009&as_sdt=2005&sciodt=0,5&hl=en&num=20",14,"2014-08-04",""
43,"KM Pohl, J Fisher, S Bouix, M Shenton…","Using the logarithm of odds to define a vector space on probabilistic atlases",2007,"Medical Image …","Elsevier","http://www.sciencedirect.com/science/article/pii/S1361841507000576","http://scholar.google.com/scholar?cites=4248061325965487740&as_sdt=2005&sciodt=0,5&hl=en&num=20",15,"2014-08-04",""
38,"S Bouix, K Siddiqi…","Flux driven fly throughs",2003,"Computer Vision and …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1211388","http://scholar.google.com/scholar?cites=8121102568088122068&as_sdt=2005&sciodt=0,5&hl=en&num=20",16,"2014-08-04",""
39,"…, M Nakamura, KU Lee, MS Koo, S Bouix…","A prospective longitudinal volumetric MRI study of superior temporal gyrus gray matter and amygdala–hippocampal complex in chronic schizophrenia",2009,"Schizophrenia …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0920996409002199","http://scholar.google.com/scholar?cites=860785772769220338&as_sdt=2005&sciodt=0,5&hl=en&num=20",17,"2014-08-04",""
33,"T Kawashima, M Nakamura, S Bouix, M Kubicki…","Uncinate fasciculus abnormalities in recent onset schizophrenia and affective psychosis: a diffusion tensor imaging study",2009,"Schizophrenia …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0920996409000383","http://scholar.google.com/scholar?cites=14201493781901316557&as_sdt=2005&sciodt=0,5&hl=en&num=20",18,"2014-08-04",""
34,"T Asami, S Bouix, TJ Whitford, ME Shenton…","Longitudinal loss of gray matter volume in patients with first-episode schizophrenia: DARTEL automated analysis and ROI validation",2012,"Neuroimage","Elsevier","http://www.sciencedirect.com/science/article/pii/S1053811911009839","http://scholar.google.com/scholar?cites=1003165674111480125&as_sdt=2005&sciodt=0,5&hl=en&num=20",19,"2014-08-04",""
31,"…, DF Salisbury, S Heckers, S Bouix…","An in vivo MRI study of prefrontal cortical complexity in first-episode psychosis",2005,"American Journal of …","Am Psychiatric Assoc","","http://scholar.google.com/scholar?cites=15409069762544459599&as_sdt=2005&sciodt=0,5&hl=en&num=20",20,"2014-08-04","HTML"
27,"Y Rathi, O Michailovich, ME Shenton, S Bouix","Directional functions for orientation distribution estimation",2009,"Medical image analysis","Elsevier","http://www.sciencedirect.com/science/article/pii/S136184150900005X","http://scholar.google.com/scholar?cites=16662082780211774984&as_sdt=2005&sciodt=0,5&hl=en&num=20",21,"2014-08-04",""
28,"…, ME Shenton, Y Rathi, DP Terry, S Bouix…","Voxel-based morphometry (VBM) studies in schizophrenia—can white matter changes be reliably detected with VBM?",2011,"Psychiatry Research: …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0925492711000370","http://scholar.google.com/scholar?cites=9174904402778199300&as_sdt=2005&sciodt=0,5&hl=en&num=20",22,"2014-08-04",""
26,"JG Malcolm, O Michailovich, S Bouix, CF Westin…","A filtered approach to neural tractography using the Watson directional function",2010,"Medical Image …","Elsevier","http://www.sciencedirect.com/science/article/pii/S1361841509001182","http://scholar.google.com/scholar?cites=12889281426439430219&as_sdt=2005&sciodt=0,5&hl=en&num=20",23,"2014-08-04",""
26,"…, HJ Park, M Kubicki, NY Ji, S Bouix…","Smaller neocortical gray matter and larger sulcal cerebrospinal fluid volumes in neuroleptic-naive women with schizotypal personality disorder",2006,"Archives of …","archpsyc.jamanetwork.com","http://archpsyc.jamanetwork.com/article.aspx?articleid=209889","http://scholar.google.com/scholar?cites=17789735409949418831&as_sdt=2005&sciodt=0,5&hl=en&num=20",24,"2014-08-04",""
25,"JJ Levitt, M Styner, M Niethammer, S Bouix…","Shape abnormalities of caudate nucleus in schizotypal personality disorder",2009,"Schizophrenia …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0920996408005094","http://scholar.google.com/scholar?cites=1558580658957000904&as_sdt=2005&sciodt=0,5&hl=en&num=20",25,"2014-08-04",""
24,"Y Rathi, O Michailovich, K Setsompop, S Bouix…","Sparse multi-shell diffusion imaging",2011,"… Image Computing and …","Springer","http://link.springer.com/chapter/10.1007/978-3-642-23629-7_8","http://scholar.google.com/scholar?cites=10691158240749348993&as_sdt=2005&sciodt=0,5&hl=en&num=20",26,"2014-08-04",""
22,"IK Koerte, D Kaufmann, E Hartl, S Bouix…","A prospective study of physician-observed concussion during a varsity university hockey season: white matter integrity in ice hockey players. Part 3 of 4",2012,"Neurosurgical …","thejns.org","http://thejns.org/doi/abs/10.3171/2012.10.FOCUS12303","http://scholar.google.com/scholar?cites=7297697174244649529&as_sdt=2005&sciodt=0,5&hl=en&num=20",27,"2014-08-04",""
27,"O Pasternak, CF Westin, S Bouix…","Excessive extracellular volume reveals a neurodegenerative pattern in schizophrenia onset",2012,"The Journal of …","Soc Neuroscience","http://www.jneurosci.org/content/32/48/17365.short","http://scholar.google.com/scholar?cites=11710845175570532583&as_sdt=2005&sciodt=0,5&hl=en&num=20",28,"2014-08-04",""
16,"M Martin-Fernandez, S Bouix, L Ungar…","Two methods for validating brain tissue classifiers",2005,"… Image Computing and …","Springer","http://link.springer.com/chapter/10.1007/11566465_64","http://scholar.google.com/scholar?cites=98598027366177136&as_sdt=2005&sciodt=0,5&hl=en&num=20",29,"2014-08-04",""
17,"…, M Niethammer, FE Wolter, S Bouix…","Global medical shape analysis using the volumetric Laplace spectrum",2007,"… , 2007. CW'07. …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4390947","http://scholar.google.com/scholar?cites=7205081570325078838&as_sdt=2005&sciodt=0,5&hl=en&num=20",30,"2014-08-04",""
14,"M Niethammer, RSJ Estepar, S Bouix…","On diffusion tensor estimation",2006,"… in Medicine and …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4462334","http://scholar.google.com/scholar?cites=8123808500809986514&as_sdt=2005&sciodt=0,5&hl=en&num=20",31,"2014-08-04",""
17,"…, DP Terry, TJ Whitford, J De Siebenthal, S Bouix…","Stochastic tractography study of inferior frontal gyrus anatomical connectivity in schizophrenia",2011,"Neuroimage","Elsevier","http://www.sciencedirect.com/science/article/pii/S1053811911000826","http://scholar.google.com/scholar?cites=13953564697693677904&as_sdt=2005&sciodt=0,5&hl=en&num=20",32,"2014-08-04",""
12,"…, E Connor, L Ungar, PG Nestor, S Bouix…","Relationship between white matter integrity, attention, and memory in schizophrenia: a diffusion tensor imaging study",2009,"Brain imaging and …","Springer","http://link.springer.com/article/10.1007/s11682-009-9061-8","http://scholar.google.com/scholar?cites=11943618740413165706&as_sdt=2005&sciodt=0,5&hl=en&num=20",33,"2014-08-04",""
12,"Y Gao, R Kikinis, S Bouix, M Shenton…","A 3< i> D</i> interactive multi-object segmentation tool using local robust statistics driven active contours",2012,"Medical image …","Elsevier","http://www.sciencedirect.com/science/article/pii/S1361841512000837","http://scholar.google.com/scholar?cites=5386796586716720857&as_sdt=2005&sciodt=0,5&hl=en&num=20",34,"2014-08-04",""
